,yt_id,imdb_id,length,face_ratio,avg_num_faces,res,cuts,avg_len_cuts,var_len_cuts,avg_bright,var_bright,title,budget,year,genres,release_date,runtime,revenue,vote_average,vote_count,yt.publishdate,yt.likes,yt.dislikes,yt.favorites,yt.views,yt.num_comments,yt.title,genre.Drama,genre.Adventure,genre.Fantasy,genre.Mystery,genre.Animation,genre.Science_Fiction,genre.Horror,genre.History,genre.War,genre.Crime,genre.TV_Movie,genre.Family,genre.Documentary,genre.Thriller,genre.Action,genre.Western,genre.Romance,genre.Comedy,genre.Music,res_multiplied,warmth_avg,saturation_scaled_warmth_avg,meanS_avg,stdS_avg,Hs_avg,Rs_avg,meanV_avg,stdV_avg,pleasure_avg,arousal_avg,dominance_avg,warmth_var,saturation_scaled_warmth_var,meanS_var,stdS_var,Hs_var,Rs_var,meanV_var,stdV_var,pleasure_var,arousal_var,dominance_var,black_avg,blue_avg,brown_avg,grey_avg,green_avg,orange_avg,pink_avg,purple_avg,red_avg,white_avg,yellow_avg,colorfulness_avg,colorfulness_var,time_to_first_face,Average_Scene2Scene_Similarity,Variance_Scene2Scene_Similarity,Average_Scenes_Similarity,Variance_Scenes_Similarity,angry,disgust,fear,happy,sad,surprise,neutral
0,Xr_N3-kF2hk,tt2262129,169.55,0.29064039408866993,1.4152542372881356,"[720, 1280]",55,3.082563636363637,6.9331082875420895,19.74440344403444,117.95114054585429,Spidarlings,160.0,2016.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]",2016-10-31,120.0,0.0,9.5,3.0,2013-07-12 22:56:33,120,10,0,13867,22,SPIDARLINGS - Official Trailer [HD],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,921600,0.5302213007504352,0.2536746175717986,0.5462175620683903,0.2253167823029017,0.9443000941538324,0.8533410145843008,0.3036039841756924,0.2135780006957777,84.06192624774978,107.5711819455522,-14.267099068468552,0.28086769760221864,0.1275582457664173,0.04591501423791045,0.008064425153534406,0.6096898883210484,0.031069540086075795,0.02235979377217445,0.010237059319493223,1045.0560126809637,1469.8126954053507,811.7623657249793,0.3926396063960639,0.11293726937269373,0.15693726937269373,0.012051660516605164,0.02498031980319804,0.03388929889298893,0.017537515375153752,0.1047921279212792,0.1171771217712177,0.010050430504305043,0.016864698646986472,0.2526764152175541,0.03680203510951234,4171.0,0.7292748,0.005669536,0.7704823535901529,0.056945852766538387,0.08130452764402896,0.000900731972227082,0.3352752551600033,0.042150153102299866,0.3651951477511886,0.01705424094224758,0.15811994781959482
1,pCN3Ouo-Hys,tt1935897,148.65,0.3455056179775281,1.3658536585365857,"[720, 1280]",90,1.6516666666666662,1.268920606741573,7.612233445566777,46.32279164237252,Amityville: The Awakening,0.0,2017.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",2017-07-20,85.0,0.0,5.4,661.0,2014-08-25 18:34:12,60824,3135,0,16640773,5264,Amityville: The Awakening Official Trailer #1 (2015) - Bella Thorne Horror Movie HD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,921600,0.6961038357360939,0.12771516418719808,0.28198348694153946,0.3024668427354623,1.4600978681887078,0.7024275711085292,0.1022416111748909,0.11209621586240898,33.80868510364242,51.22567286543066,3.195428288735761,0.07059042062581747,0.0269241893453072,0.0185401055583942,0.009731944269860376,0.4488968943930325,0.04207090765205726,0.007736165739633352,0.005158284943095042,421.7000941771509,634.1022570575977,215.58578996212452,0.8372626404494382,0.014070224719101123,0.0569494382022472,0.03177808988764045,0.027511235955056168,5.617977528089888e-06,0.0010280898876404497,0.023762640449438203,0.003810393258426968,0.003224719101123596,0.0005308988764044947,0.11081661649249376,0.021020860179746324,8759.0,0.7291078000000001,0.003834947,0.7777075411184974,0.05037890145918997,0.14625299091006394,0.00041375526546572663,0.14878120500932068,0.06937705788304728,0.333741963416417,0.02400751567485526,0.27742551518316905
2,NhIFVlsHzwQ,tt8790176,170.34,0.4376470588235294,1.4301075268817205,"[720, 1280]",131,1.3001526717557252,1.323652284204345,27.999295443870363,303.3166544247901,Big Bang Shorts,0.0,2017.0,[],,,0.0,0.0,0.0,2014-09-25 13:29:11,14953,1518,0,4347901,1518,BANG BANG! Theatrical Trailer | Hrithik Roshan & Katrina Kaif,,,,,,,,,,,,,,,,,,,,921600,0.3497131487991183,0.08984798704409737,0.3306860503856238,0.2925752466429525,0.7550886902654528,0.7098376042203884,0.33949049172054085,0.2614089684050689,78.28483944486267,77.4316890795092,-38.80927558397392,0.2538796352504484,0.05460066775792008,0.02009390128156964,0.009312559371375205,0.4318274888501219,0.06267169670505014,0.03709803410036047,0.009125181476000428,1033.7263178097396,484.08599450703974,1812.3308347332247,0.4726815511163338,0.11206462984723853,0.124882491186839,0.07652056404230317,0.07679553466509988,0.012779083431257344,0.0065640423031727395,0.01163337250293772,0.02298237367802585,0.05353231492361927,0.029474735605170395,0.3374431097127119,0.04130548678956969,5600.0,0.7352909000000001,0.003693314,0.7821333473042924,0.05384507640934599,0.19457630850981705,0.0007689315035660039,0.20662881120756102,0.06674927120318187,0.2740142924731678,0.029505559958762688,0.22775682444306314
3,OcTVLfn5i8g,tt3231054,96.22,0.20434782608695654,1.425531914893617,"[720, 1280]",55,1.7494727272727273,2.401360883501684,12.401387082791505,137.90733545591286,Risen,20000000.0,2016.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",2016-02-18,107.0,46069568.0,5.9,448.0,2015-04-30 16:10:47,6738,766,0,2758907,3183,RISEN Official Trailer - In Theaters Now!,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,921600,0.5883669500268356,0.07095158377850319,0.2487960966907777,0.2423621266201441,0.4031615501900728,0.6931524357199067,0.15249099345748032,0.1474884409767861,40.788251323196285,50.1202158265028,-9.250993042092222,0.18320499724568146,0.04886133842921375,0.035854890735653566,0.016302276603824238,0.1635278970475757,0.11761501524117968,0.017111666463558155,0.010493932901078366,713.4850841414517,1033.1204237594263,767.8522266958544,0.7250455531453363,0.01858785249457701,0.1045531453362256,0.07926681127982647,0.04715618221258134,2.819956616052061e-05,0.002227765726681128,0.0007396963123644251,0.002008676789587853,0.019351409978308025,0.0009110629067245119,0.20804382783331726,0.04269984937520645,10010.0,0.70451534,0.004527171,0.7569043051313471,0.06616036656283372,0.10728602765405247,0.003254796187270737,0.13604069010391098,0.04535276492678668,0.3504026791135901,0.03405898259960683,0.32360405930629377
4,HA2EVY6Akrg,tt7860124,159.27,0.2958115183246073,1.247787610619469,"[720, 1280]",50,3.1850600000000004,7.955952465714287,27.647305075876503,238.72980037746186,Guru Geethaya,0.0,2016.0,[],,,0.0,0.0,0.0,2015-05-03 20:35:44,267,5,0,29989,33,Gurugeethaya sri lankan Film Trailer,,,,,,,,,,,,,,,,,,,,921600,0.6476976674279588,0.14528961199189774,0.29192659344246896,0.2359703388885485,0.5081944965162075,0.8370726016966976,0.3410122847661552,0.2588235509978238,76.37819339672754,71.62178990746233,-42.26697076277542,0.1591839994051927,0.051636957571044334,0.0219248390529944,0.0056783486364257755,0.4025077604193149,0.032275480268511056,0.027750637974080755,0.0090312316366173,795.9960567596708,524.7616628834218,1399.9313420805402,0.4203193717277488,0.09185078534031413,0.2672971204188481,0.06093848167539266,0.0016688481675392675,0.0144869109947644,0.03961910994764397,0.016967277486910997,0.02012041884816754,0.06423298429319371,0.002418848167539267,0.38457012749407976,0.041842069163381936,20417.0,0.7184523,0.0043409746,0.7690381084879241,0.061420902466105,0.12311760368117453,0.004979262181419279,0.12586848490319774,0.1391529463533713,0.2843187091254608,0.01738908814048343,0.30517391396138943
5,UZ4WBlveGfw,tt2709768,225.65,0.059149722735674676,1.0625,"[720, 1280]",44,5.128227272727272,125.29790362156444,44.014972273567466,439.37211818188973,The Secret Life of Pets,75000000.0,2016.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",2016-06-18,87.0,875457937.0,6.1,5606.0,2015-06-17 16:55:05,25951,1534,0,9930167,1914,The Secret Life of Pets Official Trailer #1 (2016) Louis C.K. Animated Movie HD,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,921600,-0.008682658545322396,-0.11338849196747952,0.43108596174505504,0.2399282313702857,0.8248992822578465,0.6488955285960503,0.5338824306433332,0.24277059054421105,118.12053612559208,108.15955828934892,-68.2898005802815,0.2521451608606117,0.07629878589401884,0.043192880063054606,0.0053595463495871,0.292572153867803,0.08304229332535037,0.04444718326227436,0.002930852906041289,925.200287509342,569.90486276296,2897.007046602329,0.1598419593345656,0.3045683918669131,0.07598798521256933,0.06508502772643254,0.08551940850277262,0.036161737523105364,0.03750462107208873,0.013999075785582257,0.03586506469500925,0.15064879852125693,0.03487060998151571,0.27759461927627505,0.05727999296963787,20854.0,0.69591254,0.015574171999999999,0.7392892782078233,0.10082319863415327,0.061948096050138776,1.2459579655081865e-05,0.4180099163593686,0.04718417743174776,0.25037352545819563,0.00012993649405513967,0.2223418874364264
6,10r9ozshGVE,tt2267968,126.6,0.3762376237623761,1.1140350877192982,"[720, 1280]",58,2.1825,5.456080324561403,20.53805601317957,150.72655060332158,Kung Fu Panda 3,145000000.0,2016.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",2016-01-23,95.0,521170825.0,6.7,3080.0,2015-06-18 15:00:00,91710,4571,0,25383039,1752,Kung Fu Panda 3 | Official Trailer #1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,921600,0.5773152390416991,0.19896417228908736,0.4022392005008403,0.2954627611103127,0.3208795916646996,0.8364742569648729,0.2773315504783965,0.23890298355688605,71.36210545477101,83.4656567419458,-20.92413572184468,0.09640316470710264,0.05218673075269256,0.0259702578190556,0.010175424023250902,0.0524213451456868,0.014282757300509291,0.019160820794248586,0.005639458791077124,647.9707206140178,694.6482439910982,935.7543318898358,0.4560988467874794,0.0031301482701812195,0.1139719934102142,0.03134102141680397,0.2196013179571664,0.017334431630971998,0.004975288303130149,0.003482701812191104,0.0635172981878089,0.02454036243822077,0.06187973640856671,0.31949397723402445,0.04766294502976568,25442.0,0.7380443,0.0038336818,0.7907167172857693,0.05645644722287591,0.09156463229121786,0.0005087799548215032,0.31818469134021266,0.070000096818016,0.2718266391487435,0.03859503221507188,0.20932011944076645
7,C2tA1e8UAZ4,tt9369332,82.5,0.27918781725888325,1.2545454545454546,"[720, 1280]",42,1.9642619047619043,8.068944051684086,5.7153690596562186,52.568918958313844,Halloween Horror Tales,0.0,2018.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",2018-11-29,77.0,0.0,5.3,2.0,2015-07-11 04:24:33,2578,206,0,1192411,329,TALES OF HALLOWEEN - Official Trailer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,921600,0.5600189914849775,-0.009639555223225906,0.23765085782159204,0.2545131803880995,0.908322878430583,0.6881302817541325,0.08233562305877871,0.11086302229883653,27.81916600098343,42.86921224950004,3.4356662494505983,0.1474418959005919,0.0432950175955919,0.03781754186507258,0.007894214704229675,0.3434010870713909,0.08217504671427114,0.008295142050629109,0.005428255168894367,521.6122691669685,1115.740105880282,329.79455676895117,0.8488683544303798,0.05818227848101265,0.04239493670886076,0.018835443037974683,0.006392405063291139,0.0009164556962025317,0.0015088607594936712,0.007017721518987342,0.011303797468354427,0.002936708860759494,0.001450632911392405,0.08830770729624891,0.02203130174382669,4171.0,0.7062803000000001,0.003524368,0.7656794865926106,0.06896610582305053,0.14884863489815475,0.0055857622797382545,0.1926045466306096,0.0830470671414308,0.3008127600829432,0.04001438929293315,0.22908685375296045
8,bha24P9uw-E,tt2975590,212.65,0.25343811394891946,1.9612403100775195,"[720, 1280]",77,2.7614025974025984,6.9552986384142175,17.62200863083563,118.39211509350996,Batman v Superman: Dawn of Justice,250000000.0,2016.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",2016-03-23,151.0,873260194.0,5.8,12295.0,2015-07-11 19:18:05,54279,2291,0,11816883,7487,"Batman v Superman: Dawn of Justice Official Trailer #1 (2016) - Henry Cavill, Ben Affleck Movie HD",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,921600,0.4832405180752039,0.021197425064827462,0.15280099030892613,0.14121693828243187,0.6383458590725485,0.6223365847199916,0.20316280601259207,0.1551665116099492,44.31863127424635,39.438571332561104,-26.904390996031985,0.1878630734730926,0.016472553369728006,0.010342898530448877,0.0059137253090186465,0.3549100725539929,0.08870298636543203,0.01483829232707445,0.009112229700229624,596.2894214714541,462.7220867970865,458.9625958146967,0.7330451422963691,0.02845632973503435,0.08741511285574093,0.08030029440628066,0.036792934249263984,0.001876349362119725,0.0008204121687929342,0.000845927379784102,0.0035152109911678114,0.014526987242394504,0.012236506378802749,0.20514433142055927,0.03176335328043985,8759.0,0.7234235,0.0050819525,0.7672548960698279,0.06691995484440623,0.14162526682842613,0.0018158043023301343,0.09136591531354114,0.1181925732840882,0.2738610952231141,0.008059426263036825,0.3650799172411314
9,5MBjAN7jqsQ,tt4172430,185.85,0.3505617977528089,1.75,"[720, 1280]",108,1.7208425925925923,14.449496283402565,14.582809694793538,87.77451026321462,13 Hours: The Secret Soldiers of Benghazi,50000000.0,2016.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",2016-01-13,144.0,69411370.0,7.1,1615.0,2015-07-29 01:15:52,15219,1174,0,6440810,3730,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,921600,0.013399064186772863,-0.17285111042924814,0.5104670337941262,0.3384646299179402,0.8445563032313528,0.7816071865661054,0.1987841360492788,0.21282201083902505,63.61326933372109,93.81534212519678,3.1297443912504708,0.2040950300985881,0.07186801207062797,0.02508697864811525,0.004996961837347115,0.18628685332501246,0.05017812114397697,0.011641158013001512,0.00840286105945549,397.9403289987387,609.2717576846666,670.6026774914767,0.5709573512906846,0.17797081930415265,0.0563063973063973,0.018332210998877663,0.11528507295173965,0.003151515151515152,0.0011571268237934905,0.0028653198653198647,0.002134680134680135,0.0237979797979798,0.02801122334455668,0.16546166789414202,0.032582825906005565,12095.0,0.72302836,0.004280303,0.7704377389168954,0.06324278083382708,0.01969149840391077,8.507268175359864e-05,0.06349717839530945,0.02426453720896012,0.5546957106074978,0.007069370046758305,0.33069663613252315
